Image URL,dates,year,location 1,location 2,venue
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-05-07 00:00:00+00,1912,London,England,Queen's Hall
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1912-10-03 00:00:00+00,1912,Berlin,Germany,Singakademie
,1912-11-02 00:00:00+00,1912,Bournemouth,England,
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-11-06 00:00:00+00,1912,London,England,Queen's Hall
,1912-11-08 00:00:00+00,1912,Oxford,England,Town Hall
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-11-13 00:00:00+00,1912,London,England,Queen's Hall
https://upload.wikimedia.org/wikipedia/commons/e/e6/Norwich%2C_St._Andrew%27s_Hall_-_geograph.org.uk_-_1603795.jpg,1912-11-14 00:00:00+00,1912,Norwich,England,St. Andrew's Hall
,1912-11-19 00:00:00+00,1912,Huddersfield,England,
,1912-11-22 00:00:00+00,1912,Southport,England,
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-11-30 00:00:00+00,1912,London,England,Queen's Hall
,1912-12-05 00:00:00+00,1912,Nottingham,England,
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-12-14 00:00:00+00,1912,London,England,Queen's Hall
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1913-01-13 00:00:00+00,1913,Berlin,Germany,Singakademie
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1913-02-16 00:00:00+00,1913,Berlin,Germany,Singakademie
,1913-02-19 00:00:00+00,1913,Brussels,Belgium,Salle Patria
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1913-09-25 00:00:00+00,1913,Berlin,Germany,Singakademie
,1913-10-01 00:00:00+00,1913,Leeds,England,Leeds Triennial Musical Festival
,1913-10-02 00:00:00+00,1913,Leeds,England,Leeds Triennial Musical Festival
https://upload.wikimedia.org/wikipedia/commons/a/a8/Usher_Hall%2C_Edinburgh.jpg,1913-10-04 00:00:00+00,1913,Edinburgh,Scotland,New Usher Hall
https://upload.wikimedia.org/wikipedia/commons/a/a8/Usher_Hall%2C_Edinburgh.jpg,1913-10-04 00:00:00+00,1913,Edinburgh,Scotland,New Usher Hall
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1913-10-08 00:00:00+00,1913,London,England,Queen's Hall
,1913-10-11 00:00:00+00,1913,Manchester,England,
https://upload.wikimedia.org/wikipedia/commons/a/a8/Usher_Hall%2C_Edinburgh.jpg,1914-11-09 00:00:00+00,1914,Edinburgh,Scotland,New Usher Hall
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1914-12-12 00:00:00+00,1914,London,England,Queen's Hall
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1914-12-14 00:00:00+00,1914,Berlin,Germany,Singakademie
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1914-12-25 00:00:00+00,1914,Berlin,Germany,Singakademie
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1915-01-08 00:00:00+00,1915,Berlin,Germany,Singakademie
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1915-03-23 00:00:00+00,1915,Berlin,Germany,Singakademie
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1915-10-15 00:00:00+00,1915,Berlin,Germany,Singakademie
https://upload.wikimedia.org/wikipedia/commons/5/59/The_Wiener_Musikverein_%288336449001%29.jpg,1915-12-21 00:00:00+00,1915,Vienna,Austria,Musikvereinsaal
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1916-03-24 00:00:00+00,1916,Berlin,Germany,Singakademie
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1916-04-13 00:00:00+00,1916,Berlin,Germany,Singakademie