Image URL,dates,year,location 1,location 2,venue,latitude,longitude
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-05-07 00:00:00+00,1912,London,England,Queen's Hall,51.4309209,-0.0936496
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1912-10-03 00:00:00+00,1912,Berlin,Germany,Singakademie,52.5200066,13.404954
,1912-11-02 00:00:00+00,1912,Bournemouth,England,,50.719164,-1.880769
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-11-06 00:00:00+00,1912,London,England,Queen's Hall,51.4309209,-0.0936496
,1912-11-08 00:00:00+00,1912,Oxford,England,Town Hall,51.7520209,-1.2577263
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-11-13 00:00:00+00,1912,London,England,Queen's Hall,51.4309209,-0.0936496
https://upload.wikimedia.org/wikipedia/commons/e/e6/Norwich%2C_St._Andrew%27s_Hall_-_geograph.org.uk_-_1603795.jpg,1912-11-14 00:00:00+00,1912,Norwich,England,St. Andrew's Hall,52.6308859,1.297355
,1912-11-19 00:00:00+00,1912,Huddersfield,England,,53.645792,-1.785035
,1912-11-22 00:00:00+00,1912,Southport,England,,53.645708,-3.010113
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-11-30 00:00:00+00,1912,London,England,Queen's Hall,51.4309209,-0.0936496
,1912-12-05 00:00:00+00,1912,Nottingham,England,,52.9547832,-1.1581086
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1912-12-14 00:00:00+00,1912,London,England,Queen's Hall,51.4309209,-0.0936496
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1913-01-13 00:00:00+00,1913,Berlin,Germany,Singakademie,52.5200066,13.404954
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1913-02-16 00:00:00+00,1913,Berlin,Germany,Singakademie,52.5200066,13.404954
,1913-02-19 00:00:00+00,1913,Brussels,Belgium,Salle Patria,50.8503396,4.3517103
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1913-09-25 00:00:00+00,1913,Berlin,Germany,Singakademie,52.5200066,13.404954
,1913-10-01 00:00:00+00,1913,Leeds,England,Leeds Triennial Musical Festival,53.8007554,-1.5490774
,1913-10-02 00:00:00+00,1913,Leeds,England,Leeds Triennial Musical Festival,53.8007554,-1.5490774
https://upload.wikimedia.org/wikipedia/commons/a/a8/Usher_Hall%2C_Edinburgh.jpg,1913-10-04 00:00:00+00,1913,Edinburgh,Scotland,New Usher Hall,55.953252,-3.188267
https://upload.wikimedia.org/wikipedia/commons/a/a8/Usher_Hall%2C_Edinburgh.jpg,1913-10-04 00:00:00+00,1913,Edinburgh,Scotland,New Usher Hall,55.953252,-3.188267
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1913-10-08 00:00:00+00,1913,London,England,Queen's Hall,51.4309209,-0.0936496
,1913-10-11 00:00:00+00,1913,Manchester,England,,53.4807593,-2.2426305
https://upload.wikimedia.org/wikipedia/commons/a/a8/Usher_Hall%2C_Edinburgh.jpg,1914-11-09 00:00:00+00,1914,Edinburgh,Scotland,New Usher Hall,55.953252,-3.188267
https://upload.wikimedia.org/wikipedia/commons/c/c6/Queen%27s-Hall-Opening.jpg,1914-12-12 00:00:00+00,1914,London,England,Queen's Hall,51.4309209,-0.0936496
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1914-12-14 00:00:00+00,1914,Berlin,Germany,Singakademie,52.5200066,13.404954
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1914-12-25 00:00:00+00,1914,Berlin,Germany,Singakademie,52.5200066,13.404954
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1915-01-08 00:00:00+00,1915,Berlin,Germany,Singakademie,52.5200066,13.404954
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1915-03-23 00:00:00+00,1915,Berlin,Germany,Singakademie,52.5200066,13.404954
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1915-10-15 00:00:00+00,1915,Berlin,Germany,Singakademie,52.5200066,13.404954
https://upload.wikimedia.org/wikipedia/commons/5/59/The_Wiener_Musikverein_%288336449001%29.jpg,1915-12-21 00:00:00+00,1915,Vienna,Austria,Musikvereinsaal,48.2081743,16.3738189
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1916-03-24 00:00:00+00,1916,Berlin,Germany,Singakademie,52.5200066,13.404954
https://upload.wikimedia.org/wikipedia/commons/e/e1/Ludwig_Eduard_L%C3%BCtke_-_Singakademie_Berlin.jpg,1916-04-13 00:00:00+00,1916,Berlin,Germany,Singakademie,52.5200066,13.404954