OBJECTID_1,WARD,PARCEL,PID_LONG,WPD,Petition,Landmark_Name,Areas_Desi,Address,Neighborho,Full Address1,Latitude,Longitude,Timeline,Date_Desig,PID,F8,URL,ShapeSTArea,ShapeSTLength,Image,Attribution
515,5,1227,501227000,05-06-1960,15,Arlington Street Church,Exterior only (Parcel 1227),355 Boylston Street,Back Bay,355 Boylston Street Back Bay  Massachusetts ,42.3520023,-71.07152719999999,1978-04-25,4/25/1978,501227000,Yes,http://bit.ly/1hxPmFI,18020.32202,545.6051519,https://upload.wikimedia.org/wikipedia/commons/9/98/EXTERIOR_FROM_EAST_-_Arlington_Street_Church%2C_Arlington_and_Boylston_Streets%2C_Boston%2C_Suffolk_County%2C_MA_HABS_MASS%2C13-BOST%2C34-1.tif,"Robinson, Cervin [Public domain], via Wikimedia Commons."
516,7,2940,702940000,07-09-2020,20,James Blake House,Exterior & Interior (parcel 2942),210 East Cottage Street,Dorchester,210 East Cottage Street Dorchester  Massachusetts ,42.3196471,-71.0605344,1978-04-25,4/25/1978,702940000,Yes,http://bit.ly/1jYQY0u,48552.13525,935.9282408,https://upload.wikimedia.org/wikipedia/commons/4/45/Old_Blake_House%2C_Dorchester%2C_MA.jpg,"Dorchester Historical Society [Public domain], via Wikimedia Commons."
517,3,4662,304662000,03-06-0635,6,International Trust Company Building,Exterior only (parcel 4662),45 Milk Street,Boston,45 Milk Street Boston  Massachusetts ,42.3565597,-71.05757539999999,1978-04-25,4/25/1978,304662000,Yes,http://bit.ly/PYzOF9,8440.923828,378.7443723,https://upload.wikimedia.org/wikipedia/commons/6/69/International_Trust_Company_Building_Boston_Architectural_Club_year_book_1909_p.95.png,"William Gibbons Preston [Public domain], via Wikimedia Commons."
518,2,3686,203686000,02-01-0135,59,Austin Block,Exterior only (Parcel 3686),90-92 Main Street,Charlestown,90-92 Main Street Charlestown  Massachusetts ,42.373766,-71.063141,1981-01-31,1/31/1981,203686000,Yes,,1941.091309,187.4411291,,
519,20,6485,2006485000,20-18-030,73,Theodore Parker Unitarian Church,Exterior and windows,1851 Centre Street,West Roxbury,1851 Centre Street West Roxbury  Massachusetts ,42.2863087,-71.1544552,1985-04-09,4/9/1985,2006485000,Yes,http://bit.ly/1ipNCzj,24218.68457,685.8567667,https://upload.wikimedia.org/wikipedia/commons/9/95/Theodore_Parker_Church%2C_West_Roxbury_MA.jpg,"John Phelan (Own work) [CC BY 3.0 (http://creativecommons.org/licenses/by/3.0)], via Wikimedia Commons."
520,1,3615,103615000,01-07-2006,58,Trinity Neighborhood House,Exterior only (Parcel 3615),406 Meridian Street,East Boston,406 Meridian Street East Boston  Massachusetts ,42.3802642,-71.0394993,1981-06-23,6/23/1981,103615000,Yes,http://bit.ly/1qkUDpi,10762.91089,501.5573961,https://upload.wikimedia.org/wikipedia/commons/d/dc/Trinity_Neighborhood_House%2C_East_Boston_MA.jpg,"Jameslwoodward (Own work) [CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) or GFDL (http://www.gnu.org/copyleft/fdl.html)], via Wikimedia Commons."
521,3,4580,304580000,03-08-0420,57,Proctor Building,Exterior only (Parcel 4580),100-6 Bedford Street,Boston,100-6 Bedford Street Boston  Massachusetts ,42.353397,-71.05912099999999,1983-09-27,9/27/1983,304580000,Yes,http://bit.ly/1qg9aVk,950.3339844,151.9379148,https://upload.wikimedia.org/wikipedia/commons/9/9f/Proctor_Building_-_100-106_Bedford_Street%2C_Boston%2C_MA_-_DSC05849.JPG,"Daderot (Daderot) [CC0 or CC0], via Wikimedia Commons."
522,22,3772,2203772000,22-04-015,31,Oak Square School,Exterior only (Parcel 3772),35 Nonantum Street,Brighton,35 Nonantum Street Brighton  Massachusetts ,42.3501171,-71.1688751,1979-04-10,4/10/1979,2203772000,Yes,,24871.5791,731.3469654,https://upload.wikimedia.org/wikipedia/commons/c/ce/Oak_Square_School_Boston_MA_01.jpg,"Jameslwoodward (Own work) [CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) or GFDL (http://www.gnu.org/copyleft/fdl.html)], via Wikimedia Commons."
523,3,4406,304406000,03-06-0490,52,United Shoe Machinery Company Building,Exterior and Interior lobby (Parcel 4406),140 Federal Street,Boston,140 Federal Street Boston  Massachusetts ,42.3545211,-71.05634839999999,1983-12-20,12/20/1983,304406000,Yes,,28352.60864,691.4719901,,
524,19,2186,1902186000,19-03-905,142,"Emerald Necklace Parks - Jamaica Pond, Olmsted Park and The Riverway","Landforms, Waterbodies, Vegetation, Roadways, Structures (Exterior) (Parcels 1994, 1994-1, 1965, 318, 1585, 2186)","Riverway, Jamaicaway","Fenway, JP","Jamaica Pond, Olmsted Park and The Riverway Massachusetts ",42.3258562,-71.1148667,1989-10-24,10/24/1989,1902186000,Yes,http://bit.ly/1eogG9l,9190669.6,33960.24443,https://upload.wikimedia.org/wikipedia/commons/8/8b/OlmstedParkSign.jpg,"Originally uploaded by Boston [Public domain], via Wikimedia Commons."
525,5,1157,501157000,05-01-2005,91,Berkeley Building,Exterior only,414-26 Boylston Street,Back Bay,414-26 Boylston Street Back Bay  Massachusetts ,42.3512856,-71.0724135,1985-07-09,7/9/1985,501157000,Yes,http://bit.ly/1lGiOhU,17937.1228,536.7860665,https://upload.wikimedia.org/wikipedia/commons/3/39/Berkeley_Building%2C_Boston%2C_Mass_%28NYPL_b12647398-69786%29.tiff,"Detroit Publishing Company [Public domain], via Wikimedia Commons."
526,1,5978,105978000,01-06-2015,156,39 Princeton Street (Architectural Conserv. Dist),Exterior only (Parcel 5978),39 Princeton Street,East Boston,39 Princeton Street East Boston  Massachusetts ,42.376753,-71.03741500000001,1991-03-26,3/26/1991,105978000,Yes,,2523.58374,251.5092813,,
527,3,3881,303881000,03-06-0185,164,McCormack Federal Building,Exterior only (Parcel 3881),5 Post Office Square,Boston,5 Post Office Square Boston  Massachusetts ,42.35732,-71.05661049999999,1998-03-20,3/20/1998,303881000,Yes,,46515.7146,866.5594557,,
528,6,3925,603925000,06-08-1950,53,Harrison Loring House,Exterior & landscape elements (Parcel 3925),789 East Broadway,South Boston,789 East Broadway South Boston  Massachusetts ,42.335429,-71.0330695,1984-06-23,6/23/1984,603925000,Yes,http://bit.ly/1g3R9TB,13546.83008,467.0778406,https://upload.wikimedia.org/wikipedia/commons/0/01/Harrison_Loring_House_South_Boston_MA_01.jpg,"By Jameslwoodward (Own work) [CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) or GFDL (http://www.gnu.org/copyleft/fdl.html)], via Wikimedia Commons"
529,3,4828,304828000,03-08-2020,203,Modern Theatre,Exterior only,523-525 Washington Street,Boston,523-525 Washington Street Boston  Massachusetts ,42.354193,-71.062291,2002-06-25,6/25/2002,304828000,Yes,http://bit.ly/1kGuxvp,5071.073975,352.2494569,,
530,3,4830,304830000,03-08-2020,87,Keith Memorial Theater/Opera House,Exterior & Interior (parcel 4830),537-39 Washington St.,Theater,537-39 Washington St. Theater  Massachusetts ,42.3537288,-71.0622893,1999-05-04,5/4/1999,304830000,Yes,,32292.36548,892.672196,,
531,3,4908,304908000,03-08-1955,29,Boylston Building,Exterior only (Parcel 4908),2 Boylston Street,Theater,2 Boylston Street Theater  Massachusetts ,42.3520909,-71.0631195,1977-11-30,11/30/1977,304908000,Yes,http://bit.ly/1g1sEq2,15547.45361,539.6319822,,
532,1,3410,103410000,01-08-1940,3,Donald McKay House,Exterior & grounds (parcel 61090),80 White Street,East Boston,80 White Street East Boston  Massachusetts ,42.3807057,-71.0364518,1977-05-10,5/10/1977,103410000,Yes,,12576.17236,533.6222075,,
533,3,4584-10,304584010,03-06-0665,113,Filene’s Complex,Exterior Only (parcel 0304584010),426 Washington Street,Boston,426 Washington Street Boston  Massachusetts ,42.3555947,-71.0598211,2006-05-09,5/9/2006,304584010,Yes,http://bit.ly/1ipl9d6,66216.25317,1038.304266,,
534,12,1734,1201734000,12-03-1950,190,Malcolm X – Ella Little-Collins House,Exterior only (Parcel 1734),72 Dale Street,Roxbury,72 Dale Street Roxbury  Massachusetts ,42.3213866,-71.0864593,1998-10-16,10/16/1998,1201734000,Yes,http://bit.ly/OxgrC2,7251.321777,350.8307077,,
535,13,1312,1301312000,13-05-020,213.04,George Milliken House,Exterior only (Parcel 01312000),44 Virginia Street,Dorchester,44 Virginia Street Dorchester  Massachusetts ,42.31553,-71.0681819,2007-01-23,1/23/2007,1301312000,Yes,http://bit.ly/1eoiIq3,7567.182617,351.4592065,,
536,3,5640,305640000,03-08-1970,85,Wang Theater,Interior Only (Parcels 5640 & 5640-1),268 Tremont Street,Theater,268 Tremont Street Theater  Massachusetts ,42.3757008,-71.0953877,1990-07-10,7/10/1990,305640000,Yes,,21981.09106,1190.876672,,
537,13,1551,1301551000,13-09-070,18,William Monroe Trotter House,Exterior & grounds (parcel 22110),97 Sawyer Avenue,Dorchester,97 Sawyer Avenue Dorchester  Massachusetts ,42.3130245,-71.06276729999999,1977-10-25,10/25/1977,1301551000,Yes,,3977.242188,259.8421926,,
538,3,4029,304029000,03-06-0580,143,Batterymarch Building,Exterior only (Parcel 4029),54 Batterymarch St.,Boston,54 Batterymarch St. Boston  Massachusetts ,42.3574314,-71.0538219,1995-08-08,08/08/1995,304029000,Yes,http://bit.ly/1iq1jzB,23792.28101,616.9055763,,
539,5,3038,503038000,05-09-1980,151,Burrage House,Interior,314 Commonwealth Ave,Back Bay,314 Commonwealth Ave Back Bay  Massachusetts ,42.3492592,-71.0861202,2003-01-28,1/28/2003,503038000,Yes,http://bit.ly/1qfPz5L,6917.161621,357.231033,,
540,5,1135,501135000,05-01-1995,2,Armory of First Corps Cadets,Exterior only (Parcel 1135),130 Columbus Ave.,South Cove,130 Columbus Ave. South Cove  Massachusetts ,42.349535,-71.070241,1977-05-10,5/10/1977,501135000,Yes,http://bit.ly/1hxPmFI,28021.53345,728.3000047,,
541,3,3890,303890000,03-06-0715,175,Old State House,"Exterior & interior entries, rotunda, council chamber & Keayne, Whitmore & Representatives Hall (Parcel 3890)",208 Washington Street,Boston,208 Washington Street Boston  Massachusetts ,42.3582588,-71.05770389999999,1994-10-11,10/11/1994,303890000,Yes,,4588.802002,306.9168177,,
542,5,1259,501259000,05-03-1980,5,Public Garden,"Bounded by: Beacon, Arlington, Boylston, Charles",Beacon Street,Boston,Beacon Street Boston  Massachusetts ,42.3358733,-71.15249399999999,1977-05-10,5/10/1977,501259000,Yes,http://bit.ly/1qkJlBG,1024117.646,4131.592225,,
543,3,4966,304966000,03-08-0280,67,Liberty Tree Block,Exterior only (Parcel 4966),628-36 Washington St.,Theater,628-36 Washington St. Theater  Massachusetts ,42.3522875,-71.0626271,1985-04-09,4/9/1985,304966000,Yes,http://bit.ly/1ipzo1u,9162.060059,384.7196401,,
544,19,1290,1901290000,19-09-045,187,Loring-Greenough House,Exterior & interior (parcel 1290),12 South Street,Jamaica Plain,12 South Street Jamaica Plain  Massachusetts ,42.3095566,-71.1148862,1999-04-27,4/27/1999,1901290000,Yes,,77346.99048,1200.900335,,
545,3,3940,303940000,03-06-0555,117,Flour & Grain Exchange,Exterior only (Parcel 3940),177 Milk Street,Boston,177 Milk Street Boston  Massachusetts ,42.3583928,-71.05251179999999,1994-04-26,4/26/1994,303940000,Yes,,11460.50806,431.6319941,,
546,3,4157,304157000,03-06-0590,26,Federal Reserve Bank,Exterior only,30 Pearl Street,Boston,30 Pearl Street Boston  Massachusetts ,42.3788571,-71.0643494,1978-10-10,10/10/1978,304157000,Yes,http://bit.ly/PYuAcp,35987.02075,825.9082275,,
547,9,2855,902855000,09-04-0275,189,Vienna Brewery Complex,Exterior (Parcel 2855),133 Halleck & 37 Station,Roxbury,133 Halleck & 37 Station Roxbury  Massachusetts ,42.332772,-71.0950963,1999-01-26,1/26/1999,902855000,Yes,http://bit.ly/1hoEorO,17919.43848,538.0405924,,
548,3,4928,304928000,03-08-1960,25,Jacob Wirth's Restaurant,"Exterior & Interior volume, original features & furnishings (parcels 4928 & 4929)",31-39 Stuart Street,Theater,31-39 Stuart Street Theater  Massachusetts ,42.3512796,-71.0639681,1977-11-30,11/30/1977,304928000,Yes,http://bit.ly/1hXf1fD,5048.701904,309.7169979,,
549,5,2,500002000,05-01-2025,88,Saxon Theater/Emerson Majestic,"Exterior & Interior volume, finishes, lighting, finishes & furniture (Parcel 2)",219-21 Tremont Street,Theater,219-21 Tremont Street Theater  Massachusetts ,42.3514839,-71.06478729999999,1986-08-12,8/12/1986,500002000,Yes,,10386.11768,420.7461194,,
550,3,3689,303689000,03-06-0340,176,Faneuil Hall,"Exterior & Interior stair, great hall, galley, Rm 205, Ancient & Honorable Artillery, Commandery (Parcel 3689)",1-10 Faneuil Hall Sq.,Boston,1-10 Faneuil Hall Sq. Boston  Massachusetts ,42.3601334,-71.055555,1994-12-13,12/13/1994,303689000,Yes,http://bit.ly/1mVEglU,8746.283447,376.5702526,,
551,3,5645,305645000,03-08-1970,39,Wilbur Theater,"Exterior & Interior vestibule, lobby, auditorium, basement lounge and restroom anterooms (Parcel 5645)",250 Tremont Street,Theater,250 Tremont Street Theater  Massachusetts ,42.3502741,-71.0651589,1987-07-14,7/14/1987,305645000,Yes,http://bit.ly/1oJsBII,9824.9375,433.6681482,,
552,3,4920,304920000,03-08-1960,17,Hayden Building,Exterior only (parcel 4920),681 Washington Street,Theater,681 Washington Street Theater  Massachusetts ,42.3514263,-71.0629304,1977-11-30,11/30/1977,304920000,Yes,http://bit.ly/1qg2xSL,1740.550781,191.0412581,,
553,19,2803,1902803000,19-02-005,7,Adams Nervine Asylum,"Weld, Adams, Davis, Carriage, Boiler, Green, Directors Houses, Nurses Cottage, Landscape (parcel 2803)",990-1020 Centre Street,Jamaica Plain,990-1020 Centre Street Jamaica Plain  Massachusetts ,42.3069498,-71.1235023,1977-05-10,5/10/1977,1902803000,Yes,http://bit.ly/1ipZvqk,394695.2158,2691.114581,,
554,5,2802,502802000,05-06-2020,149,Gibson House,"Interior volume, finishes, systems, plumbing, lighting (Parcel 2802)",137 Beacon Street,Back Bay,137 Beacon Street Back Bay  Massachusetts ,42.3547464,-71.0740765,1992-07-28,7/28/1992,502802000,Yes,,2441.272461,267.6093076,,
555,3,4832-400,304832400,03-08-2020,23,Paramount Theater,"Exterior & Interior volume, finishes, lighting, fittings & furniture (Parcel 4832)",549-63 Washington St.,Theater District,549-63 Washington St. Theater District  Massachusetts ,42.3537272,-71.0622906,1984-02-14,2/14/1984,304832400,Yes,http://bit.ly/OxlNwQ,38207.02222,1111.811492,,
556,5,4175,504175000,05-02-1935,56,Back Bay Fens,Landscape & Park Structures,The Fenway,Fenway,The Fenway Fenway  Massachusetts ,42.3402198,-71.0953009,1983-11-01,11/1/1983,504175000,Yes,http://bit.ly/1oHzSZu,4279103.275,14055.25554,,
557,3,4005,304005000,03-06-0570,82,25-27 India Street,Exterior only (Parcel 4005),25-27 India Street,Boston,25-27 India Street Boston  Massachusetts ,42.35836520000001,-71.05311069999999,1983-11-01,11/1/1983,304005000,Yes,http://bit.ly/1ilHsAg,3713.809814,243.8814043,,
558,3,4001,304001000,03-06-0570,84,50-52 Broad Street,Exterior only (Parcel 4001),50-52 Broad Street,Boston,50-52 Broad Street Boston  Massachusetts ,42.358024,-71.053735,1985-04-09,4/9/1985,304001000,Yes,http://bit.ly/1kDw5pX,1776.438965,175.1522973,,
559,3,2885,302885000,03-06-0140,114,Ames Building,Exterior only (Parcel 2885),1 Court Square,Boston,1 Court Square Boston  Massachusetts ,42.3589926,-71.05862690000001,1993-11-23,11/23/1993,302885000,Yes,http://bit.ly/1lGieAK,6611.104736,334.3347073,,
560,10,12,1000012000,10-01-2005,200,Mission Church Complex,"Bounded by Tremont Street, St. Alphonsus Street, Smith Street, and Mission Hill Park",Mission Hill,Mission Hill,"Mission Hill, boston Massachusetts ",42.329617,-71.1062302,2004-08-10,8/10/2004,1000012000,Yes,http://bit.ly/R0w8DL,104438.2478,1330.413685,,
561,3,4893,304893000,03-08-1950,28,Boston Young Men's Christian Union Building,Exterior only (Parcel 4893),48 Boylston Street,Theater,48 Boylston Street Theater  Massachusetts ,42.3521177,-71.0638926,1977-11-30,11/30/1977,304893000,Yes,http://bit.ly/1fXVXgv,20228.34106,784.6753542,,
562,0,,,,19,Commonwealth Avenue Mall,"Landscape Features, monuments, street furniture, fences; Bounded by Kenmore, Arlington Street",Commonwealth Avenue,Back Bay,Commonwealth Avenue Back Bay  Massachusetts ,42.3508447,-71.0827468,,unknown,,Yes,http://bit.ly/1jol0tL,574386.4253,13788.73452,,
564,2,3958-10,203958010,02-01-0245,129,Great House Archaeological Site,Interpretive Elements and Archaeology,City Square,Charlestown,City Square Charlestown  Massachusetts ,42.372059,-71.0615968,,unknown,,Yes,,52720.02368,913.2921701,,
565,19,2802,1902802000,19-02-005,221.06,Lewis Dawson Farm House,"Exterior Only, designation extends to the landscape to the property lines on the east, south, and west, and 35' north of the house",1090 Centre Street,Jamaica Plain,1090 Centre Street Jamaica Plain  Massachusetts ,42.30356,-71.124223,,unknown,,Yes,http://bit.ly/1g1X4Ml,222520.7937,2196.740271,,
566,0,,,,156,41 Princeton Street,Exterior Only,41 Princeton Street (Architectural Conservation District),,"41 Princeton Street, Boston Massachusetts ",42.376784,-71.037333,,unknown,,Yes,,2523.374512,251.5039439,,
567,0,,,,,Sidewalk Clock - Peabody Square,None,Peabody Square at the intersection of Dorchester Avenue and Ashmont Street,Dorchester,Peabody Square at the intersection of Dorchester Avenue and Ashmont Street Dorchester  Massachusetts ,42.2859852,-71.064123,,unknown,,Yes,,13.44067383,14.67176899,,
569,0,,,,,Sidewalk Clock - 342 West Broadway,None,333 Massachusetts Avenue,South End,333 Massachusetts Avenue South End  Massachusetts ,42.3422189,-71.0846321,,unknown,,Yes,,12.09155273,13.93422824,,
570,0,,,,,Sidewalk Clock - 333 Massachusetts Ave,None,333 Massachusetts Avenue,South End,333 Massachusetts Avenue South End  Massachusetts ,42.3422189,-71.0846321,,unknown,,Yes,,3.903320313,7.954438354,,
572,0,,,,223.07,Christian Science Center Complex,Exterior Only,"Bounded by Huntington Avenue, Horticultural Hall, Massachusetts Avenue, Clearway Street, Dalton Street, and Belvidere Street",Fenway,"Christian Science Center Complex, Fenway  Massachusetts ",42.34458009999999,-71.08428700000002,2011-03-09,03/09/2011,,Yes,http://bit.ly/1lGnbcZ,577201.8142,3620.801658,,
573,0,,,,229.07,Charles River Esplanade,See original application on file,,Beacon Hill/Back Bay, Beacon Hill/Back Bay  Massachusetts ,42.3358733,-71.15249399999999,2009-06-23,6/23/09,,Yes,http://bit.ly/1mVH67M,2655565.818,43875.27883,,
574,3,4814,304814000,,232.08,Elizabeth Peabody Bookstore and Circulating Library,"Exterior only (Parcel 0304814000)
",13-15 West Street,Boston,13-15 West Street Boston  Massachusetts ,42.3547154,-71.06209559999999,2011-11-23,11/23/11,304814000,Yes,http://bit.ly/1kGDfKd,1823.265381,192.8923985,,
575,5,812,500812000,05-03-1975,4,Boston Common,"Bounded by: Park, Beacon, Charles, Boylston Tremont",Beacon Street,Boston,Beacon Street Boston  Massachusetts ,42.3358733,-71.15249399999999,1977-05-10,5/10/1977,500812000,Yes,http://bit.ly/1kDArNW,2098973.02,5940.558551,,
576,21,1833,2101833000,21-09-045,72,St. Gabriel's Monastery Building,Exterior Only,159 Washington Street,Brighton,159 Washington Street Brighton  Massachusetts ,42.34740499999999,-71.146227,1989-01-10,1/10/1989,2101833000,Yes,,19636.90137,914.067014,,
577,14,4109,1404109000,14-14-055,217.05,Fowler Clark Farm,"Exteriors of house and barn and parcels 04151000, 04150000, 04149000, 04148000, 04147000, 04109000.",487 Norfolk Street,Mattapan,487 Norfolk Street Mattapan  Massachusetts ,42.279988,-71.088971,2006-01-10,1/10/2006,1404109000,Yes,http://bit.ly/PLqLHJ,29534.06812,744.5137858,,
578,22,1857,2201857000,22-05-095,173,Allston Depot,Exterior and Specified Interior Features,15 Franklin Street,Allston,15 Franklin Street Allston  Massachusetts ,42.356006,-71.13243,1997-05-13,5/13/1997,2201857000,Yes,,24778.45776,660.4860297,,
579,3,4763,304763000,03-06-0670,69,20-30 Bromfield Street,Bromfield Street Facade (Parcel 4762 & 4763),20-30 Bromfield Street,Boston,20-30 Bromfield Street Boston  Massachusetts ,42.35654,-71.060295,1983-03-08,3/8/1983,304763000,Yes,,5492.830811,310.005013,,
580,3,4578,304578000,03-08-0420,49,Church Green Buildings,"Exterior only (Parcels 4577, 4578)","101-3, 105-13 Summer St.",Boston,"101-3, 105-13 Summer St. Boston  Massachusetts ",42.3534689,-71.05811,1979-10-02,10/2/1979,304578000,Yes,http://bit.ly/1jVNHyQ,10361.39844,422.6213877,,
581,3,3870,303870000,03-06-0210,50,Stock Exchange Building,Exterior of State & Kilby Street facades back 60' from the street (Parcel 3870),53 State Street,Boston,53 State Street Boston  Massachusetts ,42.3584972,-71.0561757,1980-01-02,1/2/1980,303870000,Yes,,19578.93335,754.6665997,,
582,3,3346,303346000,03-06-0123,16,Ebenezer Hancock House,Exterior & original interior features (parcel 3346),Marshall Street,Boston,Marshall Street Boston  Massachusetts ,42.3615911,-71.05692619999999,1978-07-05,7/5/1978,303346000,Yes,,2072.956299,182.9277377,,
583,3,3888,303888000,03-06-0190,97,Second Brazer Building,Exterior only (Parcel 3889),25-29 State Street,Boston,25-29 State Street Boston  Massachusetts ,42.358522,-71.05703989999999,1985-07-09,7/9/1985,303888000,Yes,http://bit.ly/1jqEE8t,2759.287109,215.495373,,
584,3,3822-110,303822110,03-06-0290,108,U.S. Custom House,Exterior & Interior lobby & rotunda (Parcel 3822),McKinley Square,Boston,McKinley Square Boston  Massachusetts ,42.3591529,-71.0532825,1986-07-29,7/29/1986,303822110,Yes,http://bit.ly/1oJsvRu,13267.49805,498.3900204,,
585,21,2439,2102439000,21-16-035,107,Chestnut Hill Reservoir & Pump Station Complex,"Structures, Landscaping, Driveways, Reservoir (Parcels 2439, 2472, 2442-5)",2400-50 Beacon Street,Brighton,2400-50 Beacon Street Brighton  Massachusetts ,42.33356939999999,-71.1529266,1989-09-26,9/26/1989,2102439000,Yes,http://bit.ly/1qeQvJv,5363534.75,13222.00325,,
586,9,3285,903285000,09-05-1970,48,Cox Building,Exterior only (Parcels 3282-3288),1-7 Dudley Street,Roxbury,1-7 Dudley Street Roxbury  Massachusetts ,42.32956,-71.0901205,1979-07-10,7/10/1979,903285000,Yes,,10914.66455,401.2221819,,
587,20,8964,2008964000,20-17-005,14,Brook Farm,"Print Shop Exterior & Landscape Features (parcels 8964, 8965, 8966)",670 Baker Street,West Roxbury,670 Baker Street West Roxbury  Massachusetts ,42.291301,-71.174108,1977-10-25,10/25/1977,2008964000,Yes,http://bit.ly/1h9ebwA,7404053.136,14364.75918,,
